pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,pl_dens,pl_eqt,pl_insol,st_teff,st_mass,st_rad,st_lum,st_met,st_spectype,discoverymethod,disc_year,pl_orbincl,planet_type
Kepler-1211 b,Kepler-1211,11.01816836,0.0985,0.0,,0.23998614,,840.0,117.97,6075.0,1.048,0.969,,-0.12,,Transit,2016.0,85.37,MiniNeptune
Kepler-384 c,Kepler-384,45.3485277,0.2287,0.0,,0.10705701,,491.0,13.79,5585.0,0.773,0.91,,-0.38,,Transit,2014.0,89.95,EarthLike
Kepler-1214 b,Kepler-1214,18.82634264,0.128,0.0,,0.2221433,,591.0,28.85,5215.0,0.787,0.845,,-0.06,,Transit,2016.0,89.95,SuperEarth
Kepler-142 d,Kepler-142,41.8087668,0.2305,0.0,,0.12757627,,587.0,27.98,5726.0,0.933,1.243,,-0.06,,Transit,2014.0,89.95,EarthLike
Kepler-1209 b,Kepler-1209,25.3690868,0.18,0.0,,0.14898768,,755.0,76.9,6126.0,1.212,1.406,,0.14,,Transit,2016.0,87.87,EarthLike
Kepler-430 b,Kepler-430,35.9682692,0.2269,0.0,,0.26318183,,674.0,48.68,5883.0,1.205,1.529,,0.2,,Transit,2015.0,88.97,MiniNeptune
Kepler-388 c,Kepler-388,13.29706969,0.094,0.0,,0.08564561,,515.0,16.64,4500.0,0.626,0.633,,-0.32,,Transit,2014.0,89.95,EarthLike
Kepler-141 b,Kepler-141,3.10763873,0.0409,0.0,,1.44170112,,3961.0,58192.75,4173.0,0.941,18.939,,0.06,,Transit,2014.0,87.66,HotJupiter
Kepler-1210 b,Kepler-1210,8.07124073,0.0753,0.0,,0.13917412,,856.0,126.94,5766.0,0.874,0.853,,-0.32,,Transit,2016.0,88.81,DesertWorld
Kepler-536 b,Kepler-536,1.827082299,0.0276,0.0,,0.55134362,,1876.0,2925.17,5311.0,0.834,1.769,,-0.46,,Transit,2016.0,89.38,HotJupiter
Kepler-1833 b,Kepler-1833,6.89208596,0.0742,0.0,,0.11776272,,1146.0,407.94,6047.0,1.145,1.37,,0.1,,Transit,2021.0,88.81,DesertWorld
Kepler-129 b,Kepler-129,15.79193725,0.1305,0.0,,0.20519261,,903.0,156.86,5770.0,1.197,1.641,,0.29,,Transit,2014.0,89.38,DesertWorld
Kepler-380 b,Kepler-380,3.930871,0.0486,0.0,,0.09545917,,1266.0,608.08,6043.0,0.987,1.097,,-0.16,,Transit,2014.0,89.38,DesertWorld
Kepler-305 c,Kepler-305,8.29087418,0.0733,0.0,,0.29797535,,745.0,73.01,5106.0,0.763,0.803,,-0.08,,Transit,2013.0,84.8,MiniNeptune
Kepler-1827 b,Kepler-1827,3.70062174,0.0442,0.0,,0.13203698,,1461.0,1077.22,5387.0,0.839,1.671,,-0.42,,Transit,2021.0,79.07,DesertWorld
